OBJECTID,FID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
1,0,1,867.706149919548350,593,593,0,593.000000000000000,0.000000000000000,593.000000000000000,1,593,593,593
2,1,1,867.706149919548350,786,786,0,786.000000000000000,0.000000000000000,786.000000000000000,1,786,786,786
3,2,1,867.706149919548350,622,622,0,622.000000000000000,0.000000000000000,622.000000000000000,1,622,622,622
4,3,1,867.706149919548350,526,526,0,526.000000000000000,0.000000000000000,526.000000000000000,1,526,526,526
5,4,1,867.706149919548350,1774,1774,0,1774.000000000000000,0.000000000000000,1774.000000000000000,1,1774,1774,1774
6,5,1,867.706149919548350,1698,1698,0,1698.000000000000000,0.000000000000000,1698.000000000000000,1,1698,1698,1698
7,6,1,867.706149919548350,1784,1784,0,1784.000000000000000,0.000000000000000,1784.000000000000000,1,1784,1784,1784
8,7,1,867.706149919548350,2023,2023,0,2023.000000000000000,0.000000000000000,2023.000000000000000,1,2023,2023,2023
9,8,1,867.706149919548350,1738,1738,0,1738.000000000000000,0.000000000000000,1738.000000000000000,1,1738,1738,1738
10,9,1,867.706149919548350,1535,1535,0,1535.000000000000000,0.000000000000000,1535.000000000000000,1,1535,1535,1535
11,10,1,867.706149919548350,1405,1405,0,1405.000000000000000,0.000000000000000,1405.000000000000000,1,1405,1405,1405
12,11,1,867.706149919548350,1031,1031,0,1031.000000000000000,0.000000000000000,1031.000000000000000,1,1031,1031,1031
13,12,1,867.706149919548350,1146,1146,0,1146.000000000000000,0.000000000000000,1146.000000000000000,1,1146,1146,1146
14,13,1,867.706149919548350,1375,1375,0,1375.000000000000000,0.000000000000000,1375.000000000000000,1,1375,1375,1375
15,14,1,867.706149919548350,1849,1849,0,1849.000000000000000,0.000000000000000,1849.000000000000000,1,1849,1849,1849
16,15,1,867.706149919548350,946,946,0,946.000000000000000,0.000000000000000,946.000000000000000,1,946,946,946
17,16,1,867.706149919548350,1091,1091,0,1091.000000000000000,0.000000000000000,1091.000000000000000,1,1091,1091,1091
18,17,1,867.706149919548350,1415,1415,0,1415.000000000000000,0.000000000000000,1415.000000000000000,1,1415,1415,1415
19,18,1,867.706149919548350,1498,1498,0,1498.000000000000000,0.000000000000000,1498.000000000000000,1,1498,1498,1498
20,19,1,867.706149919548350,1032,1032,0,1032.000000000000000,0.000000000000000,1032.000000000000000,1,1032,1032,1032
21,20,1,867.706149919548350,914,914,0,914.000000000000000,0.000000000000000,914.000000000000000,1,914,914,914
22,21,1,867.706149919548350,678,678,0,678.000000000000000,0.000000000000000,678.000000000000000,1,678,678,678
23,22,1,867.706149919548350,845,845,0,845.000000000000000,0.000000000000000,845.000000000000000,1,845,845,845
24,23,1,867.706149919548350,811,811,0,811.000000000000000,0.000000000000000,811.000000000000000,1,811,811,811
25,24,1,867.706149919548350,804,804,0,804.000000000000000,0.000000000000000,804.000000000000000,1,804,804,804
26,25,1,867.706149919548350,644,644,0,644.000000000000000,0.000000000000000,644.000000000000000,1,644,644,644
27,26,1,867.706149919548350,1006,1006,0,1006.000000000000000,0.000000000000000,1006.000000000000000,1,1006,1006,1006
28,27,1,867.706149919548350,686,686,0,686.000000000000000,0.000000000000000,686.000000000000000,1,686,686,686
29,28,1,867.706149919548350,679,679,0,679.000000000000000,0.000000000000000,679.000000000000000,1,679,679,679
30,29,1,867.706149919548350,571,571,0,571.000000000000000,0.000000000000000,571.000000000000000,1,571,571,571
31,30,1,867.706149919548350,302,302,0,302.000000000000000,0.000000000000000,302.000000000000000,1,302,302,302
32,31,1,867.706149919548350,348,348,0,348.000000000000000,0.000000000000000,348.000000000000000,1,348,348,348
33,32,1,867.706149919548350,333,333,0,333.000000000000000,0.000000000000000,333.000000000000000,1,333,333,333
34,33,1,867.706149919548350,483,483,0,483.000000000000000,0.000000000000000,483.000000000000000,1,483,483,483
35,34,1,867.706149919548350,682,682,0,682.000000000000000,0.000000000000000,682.000000000000000,1,682,682,682
36,35,1,867.706149919548350,287,287,0,287.000000000000000,0.000000000000000,287.000000000000000,1,287,287,287
37,36,1,867.706149919548350,514,514,0,514.000000000000000,0.000000000000000,514.000000000000000,1,514,514,514
38,37,1,867.706149919548350,991,991,0,991.000000000000000,0.000000000000000,991.000000000000000,1,991,991,991
39,38,1,867.706149919548350,878,878,0,878.000000000000000,0.000000000000000,878.000000000000000,1,878,878,878
40,39,1,867.706149919548350,919,919,0,919.000000000000000,0.000000000000000,919.000000000000000,1,919,919,919
41,40,1,867.706149919548350,1322,1322,0,1322.000000000000000,0.000000000000000,1322.000000000000000,1,1322,1322,1322
42,41,1,867.706149919548350,1919,1919,0,1919.000000000000000,0.000000000000000,1919.000000000000000,1,1919,1919,1919
43,42,1,867.706149919548350,1795,1795,0,1795.000000000000000,0.000000000000000,1795.000000000000000,1,1795,1795,1795
44,43,1,867.706149919548350,1681,1681,0,1681.000000000000000,0.000000000000000,1681.000000000000000,1,1681,1681,1681
45,44,1,867.706149919548350,1399,1399,0,1399.000000000000000,0.000000000000000,1399.000000000000000,1,1399,1399,1399
46,45,1,867.706149919548350,1098,1098,0,1098.000000000000000,0.000000000000000,1098.000000000000000,1,1098,1098,1098
47,46,1,867.706149919548350,943,943,0,943.000000000000000,0.000000000000000,943.000000000000000,1,943,943,943
48,47,1,867.706149919548350,1487,1487,0,1487.000000000000000,0.000000000000000,1487.000000000000000,1,1487,1487,1487
49,48,1,867.706149919548350,453,453,0,453.000000000000000,0.000000000000000,453.000000000000000,1,453,453,453
50,49,1,867.706149919548350,803,803,0,803.000000000000000,0.000000000000000,803.000000000000000,1,803,803,803
51,50,1,867.706149919548350,1484,1484,0,1484.000000000000000,0.000000000000000,1484.000000000000000,1,1484,1484,1484
52,51,1,867.706149919548350,1073,1073,0,1073.000000000000000,0.000000000000000,1073.000000000000000,1,1073,1073,1073
53,52,1,867.706149919548350,898,898,0,898.000000000000000,0.000000000000000,898.000000000000000,1,898,898,898
54,53,1,867.706149919548350,1004,1004,0,1004.000000000000000,0.000000000000000,1004.000000000000000,1,1004,1004,1004
55,54,1,867.706149919548350,803,803,0,803.000000000000000,0.000000000000000,803.000000000000000,1,803,803,803
56,55,1,867.706149919548350,906,906,0,906.000000000000000,0.000000000000000,906.000000000000000,1,906,906,906
57,56,1,867.706149919548350,996,996,0,996.000000000000000,0.000000000000000,996.000000000000000,1,996,996,996
58,57,1,867.706149919548350,1460,1460,0,1460.000000000000000,0.000000000000000,1460.000000000000000,1,1460,1460,1460
59,58,1,867.706149919548350,1410,1410,0,1410.000000000000000,0.000000000000000,1410.000000000000000,1,1410,1410,1410
60,59,1,867.706149919548350,1122,1122,0,1122.000000000000000,0.000000000000000,1122.000000000000000,1,1122,1122,1122
61,60,1,867.706149919548350,1050,1050,0,1050.000000000000000,0.000000000000000,1050.000000000000000,1,1050,1050,1050
62,61,1,867.706149919548350,988,988,0,988.000000000000000,0.000000000000000,988.000000000000000,1,988,988,988
63,62,1,867.706149919548350,1393,1393,0,1393.000000000000000,0.000000000000000,1393.000000000000000,1,1393,1393,1393
64,63,1,867.706149919548350,1140,1140,0,1140.000000000000000,0.000000000000000,1140.000000000000000,1,1140,1140,1140
65,64,1,867.706149919548350,908,908,0,908.000000000000000,0.000000000000000,908.000000000000000,1,908,908,908
66,65,1,867.706149919548350,842,842,0,842.000000000000000,0.000000000000000,842.000000000000000,1,842,842,842
67,66,1,867.706149919548350,726,726,0,726.000000000000000,0.000000000000000,726.000000000000000,1,726,726,726
68,67,1,867.706149919548350,863,863,0,863.000000000000000,0.000000000000000,863.000000000000000,1,863,863,863
69,68,1,867.706149919548350,562,562,0,562.000000000000000,0.000000000000000,562.000000000000000,1,562,562,562
70,69,1,867.706149919548350,1053,1053,0,1053.000000000000000,0.000000000000000,1053.000000000000000,1,1053,1053,1053
