OBJECTID,FID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
1,0,1,867.706149919550740,1145,1145,0,1145.000000000000000,0.000000000000000,1145.000000000000000,1,1145,1145,1145
2,1,1,867.706149919550740,652,652,0,652.000000000000000,0.000000000000000,652.000000000000000,1,652,652,652
3,2,1,867.706149919550740,1220,1220,0,1220.000000000000000,0.000000000000000,1220.000000000000000,1,1220,1220,1220
4,3,1,867.706149919550740,1182,1182,0,1182.000000000000000,0.000000000000000,1182.000000000000000,1,1182,1182,1182
5,4,1,867.706149919550740,792,792,0,792.000000000000000,0.000000000000000,792.000000000000000,1,792,792,792
6,5,1,867.706149919550740,1082,1082,0,1082.000000000000000,0.000000000000000,1082.000000000000000,1,1082,1082,1082
7,6,1,867.706149919550740,1236,1236,0,1236.000000000000000,0.000000000000000,1236.000000000000000,1,1236,1236,1236
8,7,1,867.706149919550740,901,901,0,901.000000000000000,0.000000000000000,901.000000000000000,1,901,901,901
9,8,1,867.706149919550740,1403,1403,0,1403.000000000000000,0.000000000000000,1403.000000000000000,1,1403,1403,1403
10,9,1,867.706149919550740,1260,1260,0,1260.000000000000000,0.000000000000000,1260.000000000000000,1,1260,1260,1260
11,10,1,867.706149919550740,1838,1838,0,1838.000000000000000,0.000000000000000,1838.000000000000000,1,1838,1838,1838
12,11,1,867.706149919550740,1247,1247,0,1247.000000000000000,0.000000000000000,1247.000000000000000,1,1247,1247,1247
13,12,1,867.706149919550740,1767,1767,0,1767.000000000000000,0.000000000000000,1767.000000000000000,1,1767,1767,1767
14,13,1,867.706149919550740,1623,1623,0,1623.000000000000000,0.000000000000000,1623.000000000000000,1,1623,1623,1623
15,14,1,867.706149919550740,2215,2215,0,2215.000000000000000,0.000000000000000,2215.000000000000000,1,2215,2215,2215
16,15,1,867.706149919550740,1572,1572,0,1572.000000000000000,0.000000000000000,1572.000000000000000,1,1572,1572,1572
17,16,1,867.706149919550740,2276,2276,0,2276.000000000000000,0.000000000000000,2276.000000000000000,1,2276,2276,2276
18,17,1,867.706149919550740,2690,2690,0,2690.000000000000000,0.000000000000000,2690.000000000000000,1,2690,2690,2690
19,18,1,867.706149919550740,2659,2659,0,2659.000000000000000,0.000000000000000,2659.000000000000000,1,2659,2659,2659
20,19,1,867.706149919550740,2805,2805,0,2805.000000000000000,0.000000000000000,2805.000000000000000,1,2805,2805,2805
21,20,1,867.706149919550740,2705,2705,0,2705.000000000000000,0.000000000000000,2705.000000000000000,1,2705,2705,2705
22,21,1,867.706149919550740,2893,2893,0,2893.000000000000000,0.000000000000000,2893.000000000000000,1,2893,2893,2893
23,22,1,867.706149919550740,2153,2153,0,2153.000000000000000,0.000000000000000,2153.000000000000000,1,2153,2153,2153
24,23,1,867.706149919550740,1675,1675,0,1675.000000000000000,0.000000000000000,1675.000000000000000,1,1675,1675,1675
25,24,1,867.706149919550740,2043,2043,0,2043.000000000000000,0.000000000000000,2043.000000000000000,1,2043,2043,2043
26,25,1,867.706149919550740,2329,2329,0,2329.000000000000000,0.000000000000000,2329.000000000000000,1,2329,2329,2329
27,26,1,867.706149919550740,1945,1945,0,1945.000000000000000,0.000000000000000,1945.000000000000000,1,1945,1945,1945
28,27,1,867.706149919550740,1537,1537,0,1537.000000000000000,0.000000000000000,1537.000000000000000,1,1537,1537,1537
29,28,1,867.706149919550740,1305,1305,0,1305.000000000000000,0.000000000000000,1305.000000000000000,1,1305,1305,1305
30,29,1,867.706149919550740,1830,1830,0,1830.000000000000000,0.000000000000000,1830.000000000000000,1,1830,1830,1830
31,30,1,867.706149919550740,2326,2326,0,2326.000000000000000,0.000000000000000,2326.000000000000000,1,2326,2326,2326
32,31,1,867.706149919550740,1855,1855,0,1855.000000000000000,0.000000000000000,1855.000000000000000,1,1855,1855,1855
33,32,1,867.706149919550740,1378,1378,0,1378.000000000000000,0.000000000000000,1378.000000000000000,1,1378,1378,1378
34,33,1,867.706149919550740,1692,1692,0,1692.000000000000000,0.000000000000000,1692.000000000000000,1,1692,1692,1692
