ID,SLOPE,ELEVATION,FLOWACC,DIST_TO_STREAM,ROCK_TYPE,LANDSLIDE
0,50.7482605,593,2,337.0371169,quartzite_schist,1
10,27.71979332,1405,4,1176.7325,quartzite_schist,1
20,31.15989494,914,4,720.3020967,quartzite_schist,1
30,3.795880079,302,3,890.0327555,quartzite_schist,1
40,31.47606087,1322,1,929.6272615,quartzite_schist,1
50,26.75637245,1484,2,313.9641204,granite_gneiss,1
60,24.99757195,1050,1,77.4770445,quartzite_schist,1
70,23.2282505,794,25,690.7386117,quartzite_schist,1
73,31.53979874,1669,12,829.70629,silicate_marble_quartzite,1
80,30.83117485,1029,4,621.860261,quartzite_schist,1
90,15.4913559,1332,2,645.3909527,granite_gneiss,1
100,31.58134079,1443,2,256.2322195,granite_gneiss,1
110,20.46548653,1984,745,146.270728,silicate_marble_quartzite,1
120,19.20816612,1834,20,552.7799327,augen_gneiss,1
130,29.78757095,1517,441,881.983573,quartzite_schist,1
0,14.89948082,1569,0,761.9427337,quartzite_schist,0
10,21.36230659,1207,4,617.5427389,quartzite_schist,0
20,26.21967125,1143,0,1414.90154,quartzite_schist,0
30,13.74412346,1356,2,1588.904533,quartzite_schist,0
40,32.39325333,1009,1,108.7163335,quartzite_schist,0
50,21.22647476,1429,0,1582.484623,quartzite_schist,0
60,21.7113018,2070,1,1803.432075,quartzite_schist,0
70,18.72669792,1297,0,785.7717466,quartzite_schist,0
73,6.301887989,1235,0,761.0428486,quartzite_schist,0
80,26.08397293,1692,1,1462.207868,quartzite_schist,0
90,24.62173271,1084,4,941.8025748,quartzite_schist,0
100,18.30768776,1581,4,901.641994,quartzite_schist,0
110,28.66345596,2357,0,1065.862908,augen_gneiss,0
120,14.74983883,2464,0,2464.257261,quartzite_schist,0
130,20.62269211,1395,0,938.0722052,quartzite_schist,0
1,31.51286316,786,1,737.7860089,quartzite_schist,1
2,28.49664879,622,0,537.3586223,quartzite_schist,1
3,35.00872421,526,0,227.3014601,quartzite_schist,1
4,44.97073364,1774,1,1896.373194,quartzite_schist,1
5,29.11013412,1698,7,957.5928459,granite_gneiss,1
6,21.76945114,1784,10,1049.578227,quartzite_schist,1
7,24.43613243,2023,12,1527.828021,quartzite_schist,1
8,10.98379993,1738,0,628.1258542,quartzite_schist,1
9,32.33739853,1535,0,2174.467561,quartzite_schist,1
11,28.50988007,1031,1,312.2576715,quartzite_schist,1
12,15.23953819,1146,13,556.0317882,quartzite_schist,1
13,26.26521492,1375,0,1697.877934,granite_gneiss,1
14,9.921896935,1849,1,1745.306841,quartzite_schist,1
15,16.41392708,946,4,142.690513,quartzite_schist,1
16,40.71990585,1091,5,628.212611,quartzite_schist,1
17,3.538903952,1415,0,419.9553216,quartzite_schist,1
18,29.39113617,1498,1,1017.896408,granite_gneiss,1
19,21.81848526,1032,3,766.4794293,quartzite_schist,1
21,19.21874428,678,2,13.86150651,quartzite_schist,1
22,41.03600693,845,2,170.0332992,quartzite_schist,1
23,27.67811775,811,0,457.5437529,quartzite_schist,1
24,17.31328201,804,1,609.7383952,quartzite_schist,1
25,25.11189461,644,16,14.89161127,quartzite_schist,1
26,33.64644623,1006,2,512.3927153,quartzite_schist,1
27,24.86591911,686,144,419.1241518,quartzite_schist,1
28,25.72926521,679,2,28.93746329,quartzite_schist,1
29,24.29027939,571,234,11.68837682,quartzite_schist,1
31,3.917983532,348,0,1870.022548,quartzite_schist,1
32,8.438732147,333,80,1738.014976,quartzite_schist,1
33,32.20280838,483,18,1326.443846,quartzite_schist,1
34,42.34412003,682,5,771.7823643,quartzite_schist,1
35,7.814464569,287,668676,240.1645134,quartzite_schist,1
36,26.31902885,514,13,423.9296641,quartzite_schist,1
37,27.83959961,991,7,1605.032647,granite_gneiss,1
38,26.56564522,878,16,244.4790467,granite_gneiss,1
39,9.654242516,919,3356,553.1187058,granite_gneiss,1
41,49.72388458,1919,42,340.0798151,quartzite_schist,1
42,35.70347977,1795,0,148.8274297,granite_gneiss,1
43,43.7309227,1681,6,446.9682058,granite_gneiss,1
44,47.07777023,1399,1,130.4671165,granite_gneiss,1
45,18.14627075,1098,1,149.7147352,quartzite_schist,1
46,49.16526794,943,0,560.1451957,quartzite_schist,1
47,19.5662365,1487,2,171.7655331,quartzite_schist,1
48,28.20585823,453,1,240.407281,quartzite_schist,1
49,30.3347187,803,0,160.4369731,quartzite_schist,1
51,21.29339027,1073,2,403.9192917,quartzite_schist,1
52,33.69802475,898,29,713.1647538,quartzite_schist,1
53,22.62291527,1004,15,114.5358001,quartzite_schist,1
54,18.07489204,803,10,630.6191092,quartzite_schist,1
55,29.88521385,906,10,143.7586415,quartzite_schist,1
56,19.58687973,996,6,195.283478,quartzite_schist,1
57,30.03596306,1460,0,419.5995681,granite_gneiss,1
58,36.94694519,1410,4,129.3715488,granite_gneiss,1
59,14.87042236,1122,0,1374.270357,quartzite_schist,1
61,17.22839546,988,0,144.9355134,quartzite_schist,1
62,26.69905853,1393,2,393.1951892,quartzite_schist,1
63,26.1163044,1140,1,1190.829332,quartzite_schist,1
64,23.46043396,908,0,945.717146,quartzite_schist,1
65,20.49948502,842,1,1176.881767,quartzite_schist,1
66,15.4601469,726,2,294.4273972,quartzite_schist,1
67,15.18644714,863,0,179.2718485,quartzite_schist,1
68,36.83064651,562,0,238.8913231,quartzite_schist,1
69,23.77989388,1053,12,638.6298662,quartzite_schist,1
71,31.43794823,1221,12,60.25028781,augen_gneiss,1
72,33.9355545,1639,1,318.9664872,augen_gneiss,1
74,36.62776184,1567,0,583.8271705,augen_gneiss,1
75,21.55591011,1350,36,270.7802376,augen_gneiss,1
76,40.38304138,893,2,281.2141206,augen_gneiss,1
77,18.10348701,894,1,28.30695976,quartzite_schist,1
78,30.24896431,1006,36,1250.985697,quartzite_schist,1
79,18.90338326,797,29,1900.5184,quartzite_schist,1
81,17.44862366,655,2,1516.643056,quartzite_schist,1
82,17.73009682,854,6,773.9717913,quartzite_schist,1
83,26.64319038,1284,0,1744.297592,quartzite_schist,1
84,24.77570534,1263,0,643.4436205,granite_gneiss,1
85,51.88856506,1474,8,179.5508416,augen_gneiss,1
86,44.43575668,1282,1,396.5215477,granite_gneiss,1
87,19.39221191,1142,0,984.3153466,augen_gneiss,1
88,33.39919281,1934,0,48.35935175,augen_gneiss,1
89,40.87297058,2112,8,117.5613213,augen_gneiss,1
91,19.60749435,2155,1,223.420105,silicate_marble_quartzite,1
92,15.93062496,1510,1192,1117.352108,augen_gneiss,1
93,25.44478798,2017,14,380.5432654,augen_gneiss,1
94,36.02184677,1819,29,507.8295565,augen_gneiss,1
95,21.1336956,1510,13,85.33993435,augen_gneiss,1
96,23.7090168,1295,252,533.7067065,augen_gneiss,1
97,33.1437149,1519,34,1960.256829,granite_gneiss,1
98,29.71122742,1054,11,1100.470719,granite_gneiss,1
99,21.14997101,1048,362,617.0108083,granite_gneiss,1
