ID,SLOPE,FLOWACC,LANDSLIDE
0,50.7482605,2,UNKNOWN
1,31.51286316,1,UNKNOWN
2,28.49664879,0,UNKNOWN
3,35.00872421,0,UNKNOWN
4,44.97073364,1,UNKNOWN
5,29.11013412,7,UNKNOWN
6,21.76945114,10,UNKNOWN
7,24.43613243,12,UNKNOWN
8,10.98379993,0,UNKNOWN
9,32.33739853,0,UNKNOWN
10,27.71979332,4,UNKNOWN
11,28.50988007,1,UNKNOWN
12,15.23953819,13,UNKNOWN
13,26.26521492,0,UNKNOWN
14,9.921896935,1,UNKNOWN
15,16.41392708,4,UNKNOWN
16,40.71990585,5,UNKNOWN
17,3.538903952,0,UNKNOWN
18,29.39113617,1,UNKNOWN
19,21.81848526,3,UNKNOWN
20,31.15989494,4,UNKNOWN
136,45.53482819,3,UNKNOWN
137,33.35980988,58,UNKNOWN
138,5.82059288,32,UNKNOWN
139,21.21490669,0,UNKNOWN
140,36.68407822,6,UNKNOWN
141,24.88793564,15,UNKNOWN
142,33.48963165,2,UNKNOWN
143,37.16317368,1,UNKNOWN
144,15.14025497,26,UNKNOWN
145,34.13733292,0,UNKNOWN
21,19.21874428,2,1
22,41.03600693,2,1
23,27.67811775,0,1
24,17.31328201,1,1
25,25.11189461,16,1
26,33.64644623,2,1
27,24.86591911,144,1
28,25.72926521,2,1
29,24.29027939,234,1
30,3.795880079,3,1
31,3.917983532,0,1
32,8.438732147,80,1
33,32.20280838,18,1
34,42.34412003,5,1
35,7.814464569,668676,1
36,26.31902885,13,1
37,27.83959961,7,1
38,26.56564522,16,1
39,9.654242516,3356,1
40,31.47606087,1,1
41,49.72388458,42,1
42,35.70347977,0,1
43,43.7309227,6,1
44,47.07777023,1,1
45,18.14627075,1,1
46,49.16526794,0,1
47,19.5662365,2,1
48,28.20585823,1,1
49,30.3347187,0,1
50,26.75637245,2,1
51,21.29339027,2,1
52,33.69802475,29,1
53,22.62291527,15,1
54,18.07489204,10,1
55,29.88521385,10,1
56,19.58687973,6,1
57,30.03596306,0,1
58,36.94694519,4,1
59,14.87042236,0,1
60,24.99757195,1,1
61,17.22839546,0,1
62,26.69905853,2,1
63,26.1163044,1,1
64,23.46043396,0,1
65,20.49948502,1,1
66,15.4601469,2,1
67,15.18644714,0,1
68,36.83064651,0,1
69,23.77989388,12,1
70,23.2282505,25,1
71,31.43794823,12,1
72,33.9355545,1,1
73,31.53979874,12,1
74,36.62776184,0,1
75,21.55591011,36,1
76,40.38304138,2,1
77,18.10348701,1,1
78,30.24896431,36,1
79,18.90338326,29,1
80,30.83117485,4,1
81,17.44862366,2,1
82,17.73009682,6,1
83,26.64319038,0,1
84,24.77570534,0,1
85,51.88856506,8,1
86,44.43575668,1,1
87,19.39221191,0,1
88,33.39919281,0,1
89,40.87297058,8,1
90,15.4913559,2,1
91,19.60749435,1,1
92,15.93062496,1192,1
93,25.44478798,14,1
94,36.02184677,29,1
95,21.1336956,13,1
96,23.7090168,252,1
97,33.1437149,34,1
98,29.71122742,11,1
99,21.14997101,362,1
100,31.58134079,2,1
101,27.33454895,3,1
102,26.39942169,182,1
103,48.98374557,5,1
104,22.59753418,0,1
105,42.80895615,11,1
106,29.5008297,0,1
107,35.95381927,7,1
108,37.26245499,2,1
109,38.58690262,5,1
110,20.46548653,745,1
111,23.99259949,17,1
112,10.88580227,6,1
113,30.74411201,4,1
114,34.27669144,4,1
115,47.55101395,1,1
116,35.32733917,0,1
117,39.1122818,4512,1
118,42.21467972,138,1
119,22.45933151,57,1
120,19.20816612,20,1
121,32.9920845,0,1
122,45.09192657,16,1
123,34.41179276,31,1
124,31.67746162,3,1
125,16.43006134,10,1
126,25.79354668,6,1
127,46.77624893,7,1
128,31.30571175,1,1
129,47.29011917,2,1
130,29.78757095,441,1
131,20.6034317,1,1
132,39.87843704,0,1
133,21.41036415,2,1
134,31.24978065,1,1
135,26.91903114,13,1
146,12.42808247,56,0
147,29.13703537,1,0
148,33.88471603,2,0
149,17.05703735,2,0
150,26.00714493,0,0
151,16.40423775,2,0
152,37.90674973,29,0
153,18.70480347,0,0
154,31.8067646,10,0
155,29.55609512,85,0
156,40.40206909,1,0
157,19.41309929,2,0
158,8.438732147,0,0
159,31.54958344,209,0
160,37.46428299,0,0
161,28.66345596,14,0
162,15.93062496,0,0
163,24.23691368,12,0
164,18.46172714,0,0
165,33.89955902,1,0
166,17.45460892,1,0
167,26.97074318,0,0
168,14.760849,1,0
169,20.92521667,2,0
170,16.79590988,654,0
171,14.74983883,0,0
172,26.78903389,2,0
173,15.16514778,0,0
174,13.15541172,196,0
175,32.4916954,23,0
176,13.25561905,4,0
177,40.9933815,3,0
178,18.69110107,0,0
179,15.02583027,4,0
180,15.66679573,11,0
181,17.11541557,0,0
182,45.92806244,0,0
183,35.10349274,0,0
184,14.85222626,0,0
185,30.74026108,6,0
